 County,Capacity,ADP in January,Jail Occupancy (ADP),Mar26,Apr2,Apr9,Apr 16,Apr 23,Apr 30,May 7,May 14,May 21,May 28,June 4,June 11,June 18,June 25,July 2,July 9,July 16,July 23,July 30,August 6,August 13,August 20,August 27,September 3,Sept 10,Sept 17,September 24,October 1,October 8,October 15,October 22,October 29,November 5,November 12,November 19,November 25,December 3,December 10,Dec 17,Dec 24,Dec 31,Jan 7,Jan 14,Jan 21,March ADP,N Change,% Change,Occupancy,Occupancy Change,Apr ADP,N change,% change,Occupancy ,Occupancy change,May ADP,N change,% change,Occupancy ,Occupancy Change,June ADP,N change,% change,Occupancy ,Occupancy Change,July ADP,N change,% change,Occupancy ,Occupancy Change,August ADP,N change,% change,Occupancy ,Occupancy Change,Sept ADP,N change,% change,Occupancy,Occupancy change,Oct ADP,N change,% change,Occupancy,Occupancy change,Nov ADP,N change,% change,Occupancy,Occupancy change,Dec ADP,N Change,% Change,Occupancy,Occupancy Change,Jan ADP,N Change,% Change,Occupancy,Occupancy Change,ADP FOR PANDEMIC,N change from ADP,% change between ADPS,Jail Occupancy (ADP),Occupancy % change,Cost Savings,ADP FOR PANDEMIC,N change from ADP,% change between ADPS,,
Rio Grande,36,32,89%,14,11,9,12,12,13,12,14,20,29,21,25,24,22,23,20,16,16,14,17,23,31,19,24,23,24,25,25,29,30,31,32,34,37,30,32,26,20,23,20,23,14,13,20,14,-18,-56%,39%,-50%,11,-21,-64%,32%,-57%,19,-13,-41%,52%,-37%,23,-9,-28%,64%,-25%,18,-14,-44%,49%,-39%,23,-10,-30%,63%,-26%,24,-8,-25%,67%,-22%,29,-3,-8%,82%,-7%,33,1,4%,92%,-11,22,-10,-30%,62%,-27%,16,-16,-51%,44%,-45%,22,-10,-32%,60%,-29%,"-$1,024.24",21,-11,-35%,,
Routt,57,41.08,72%,11,9,7,10,10,9,8,9,8,7,9,8,12,8,12,16,16,18,19,15,16,12,12,14,17,17,18,14,15,16,18,20,21,21,19,32,20,20,25,28,24,15,14,14,11,-30,-73%,19%,-53%,9,-32,-78%,16%,-56%,8,-33,-81%,14%,-58%,9,-32,-77%,16%,-56%,16,-25,-61%,28%,-44%,14,-27,-67%,24%,-48%,17,-25,-60%,29%,-43%,17,-24,-60%,29%,-43%,23,-18,-43%,41%,-27,23,-18,-43%,41%,-31%,14,-27,-65%,25%,-47%,15,-26,-63%,26%,-46%,"-$2,570.75",13,-28,-69%,,
San Miguel,32,9,28%,4,5,5,4,4,4,4,5,5,5,5,5,5,5,4,5,7,7,6,6,6,6,6,5,5,7,6,6,6,8,9,10,11,9,9,10,9,10,9,9,9,8,9,8,4,-5,-56%,13%,-16%,4,-5,-51%,14%,-14%,5,-4,-47%,15%,-13%,5,-4,-44%,16%,-13%,6,-3,-36%,18%,-10%,6,-3,-33%,19%,-9%,6,-3,-36%,18%,-10%,8,-1,-13%,24%,-4%,10,1,8%,30%,-3,9,0,2%,29%,1%,8,-1,-7%,26%,-2%,7,-2,-27%,21%,-8%,-$238.09,6,-3,-37%,,
Summit,94,55,59%,23,21,18,17,17,17,19,15,21,19,24,24,27,24,26,27,24,28,29,33,37,39,37,34,34,34,35,26,29,28,27,26,33,35,33,40,40,36,35,28,26,28,29,31,23,-32,-58%,24%,-34%,18,-37,-67%,19%,-39%,19,-37,-66%,20%,-39%,25,-30,-55%,26%,-32%,27,-28,-51%,29%,-30%,37,-19,-34%,39%,-20%,34,-21,-38%,36%,-22%,27,-28,-51%,29%,-30%,35,-20,-36%,38%,-28,33,-22,-40%,35%,-23%,29,-26,-47%,31%,-27%,28,-27,-49%,30%,-29%,"-$2,666.16",26,-29,-52%,,
Teller,514,99,19%,38,34,27,25,27,33,33,20,28,28,45,51,37,36,40,41,53,48,51,58,59,51,60,58,66,53,57,63,68,42,62,61,58,54,48,46,50,44,48,42,50,47,47,48,38,-61,-62%,7%,-12%,29,-70,-71%,6%,-14%,27,-72,-72%,5%,-14%,42,-57,-57%,8%,-11%,47,-52,-53%,9%,-10%,57,-42,-42%,11%,-8%,59,-41,-41%,11%,-8%,59,-40,-40%,12%,-8%,52,-48,-48%,10%,-53,47,-52,-53%,9%,-10%,47,-52,-52%,9%,-10%,46,-53,-53%,9%,-10%,"-$5,213.28",46,-53,-54%,,
Washington,220,167.6,76%,168,128,111,96,96,71,75,74,75,74,69,68,64,74,89,89,98,108,99,99,112,100,100,116,126,124,124,96,100,124,86,99,100,134,134,143,138,133,131,126,125,110,88,93,168,0,0%,76%,0%,100,-67,-40%,46%,-31%,75,-93,-56%,34%,-42%,69,-99,-59%,31%,-45%,97,-71,-42%,44%,-32%,103,-65,-39%,47%,-29%,123,-45,-27%,56%,-21%,101,-67,-40%,46%,-30%,128,-40,-24%,58%,-64,131,-37,-22%,59%,-17%,97,-71,-42%,44%,-32%,104,-63,-38%,47%,-29%,"-$6,260.88",96,-72,-43%,,
Weld,763,754,99%,657,621,528,486,465,478,487,487,450,450,475,507,506,515,499,507,521,521,521,521,521,521,521,565,518,,,,,,,,,,,,,,,,,,,,657,-97,-13%,86%,-13%,516,-238,-32%,68%,-31%,469,-286,-38%,61%,-37%,501,-253,-34%,66%,-33%,514,-240,-32%,67%,-31%,521,-233,-31%,68%,-31%,542,-213,-28%,71%,-28%,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,-241,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,514,-240,-32%,67%,-31%,"-$23,727.11",508,-246,-33%,,
Total,15465,12568,81%,8914,7915,7348,7058,7055,7001,6814,6659,6908,6917,6855,6809,6886,6896,6879,6976,7021,7115,7202,7409,7741,7828,8088,8162,8235,7876,7988,7990,8070,8108,8244,8146,8273,8420,8271,8209,8304,8347,8347,8120,8149,8280,8259,8316,8914,-3654,-29%,58%,-24%,7275,-5292,-42%,47%,-34%,6825,-5743,-46%,44%,-37%,6862,-5706,-45%,44%,-37%,7039,-5529,-44%,46%,-36%,7767,-4801,-38%,50%,-31%,8065,-4232,-34%,52%,-29%,8112,-4456,-35%,52%,-29%,8293,-4275,-34%,54%,-4720,8253,-4314,-34%,53%,-28%,8285,-4283,-34%,54%,-28%,7691,-4719,-38%,50%,-32%,"-$466,412.32",7426,-5142,-41%,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacity,Jul 1,Occupancy,Mar 26,Apr 2,Apr 9,Apr 16,Apr 23,Apr 30,May 7,May 14,May 21,May 28,June 4,June 11,June 18,June 25,July 2,July 9,July 16,July 23,July 30,August 6,August 13,August 20,August 27,September 3,September 10,Sept 17,September 24,October 1,October 8,October 15,October 22,October 29,November 5,November 12,November 19,November 25,December 3,December 10,Dec 17,Dec 24,Dec 31,Jan 7,Jan 14,Jan 21,March ADP,N Change,% Change,Occupancy,Occupancy Change,Apr ADP,ADP N change,ADP % change,Occupancy ,Occupancy Change,May ADP,ADP N change,ADP % change,Occupancy ,Occupancy Change,June ADP,ADP N change,ADP % change,Occupancy ,Occupancy Change,July ADP,ADP N change,ADP % change,Occupancy ,Occupancy Change,August ADP,ADP N change,ADP % change,Occupancy ,Occupancy Change,September,ADP N change,ADP % change,Occupancy ,Occupancy Change,Oct ADP,N change,% change,Occupancy,Occupancy Change,Nov ADP,N change,% change,Occupancy,Occupancy change,Dec ADP,N Change,% Change,Occupancy,Occupancy Change,Jan ADP,N Change,% Change,Occupancy,Occupancy Change,ADP FOR PANDEMIC,ADP N change,ADP % change,Occupancy ,Occupancy Change,,,,,,
Bent,55,39,71%,35,29,31,31,28,29,29,33,37,34,38,36,8,29,26,26,25,32,37,43,,,39,41,41,46,43,43,43,49,42,45,49,49,48,58,58,75,70,71,70,65,61,67,35,-4,-10%,64%,-7%,30,-9,-24%,54%,-17%,33,-6,-15%,60%,-10%,28,-11,-29%,50%,-20%,29,-10,-25%,53%,-18%,41,2,5%,75%,4%,43,4,10%,78%,7%,44,5,14%,81%,10%,51,12,31%,93%,3,69,30,76%,125%,54%,64,25,65%,117%,46%,43,4,9%,77%,7%,$355.32,35,-4,-10%,,
Costilla,18,18,100%,7,6,6,5,4,6,7,7,7,7,6,6,9,6,9,10,13,13,11,10,10,9,9,15,14,16,15,14,12,15,6,6,6,9,8,8,8,16,10,10,10,8,10,6,7,-11,-61%,39%,-61%,5,-13,-70%,30%,-70%,7,-11,-61%,39%,-61%,7,-11,-63%,38%,-63%,11,-7,-38%,62%,-38%,10,-9,-47%,53%,-47%,15,-3,-17%,83%,-17%,11,-7,-41%,59%,-41%,8,-10,-57%,43%,-10,11,-7,-40%,60%,-40%,8,-10,-56%,44%,-56%,9,-9,-49%,51%,-49%,-$869.25,9,-9,-48%,,
Grand,50,10,20%,7,6,7,6,8,6,6,6,8,7,6,6,7,7,8,19,20,21,22,23,22,21,20,22,23,9,9,10,10,12,12,12,19,13,17,13,14,15,15,16,17,25,27,24,7,-3,-30%,14%,-6%,7,-3,-34%,13%,-7%,7,-3,-33%,14%,-7%,7,-4,-35%,13%,-7%,18,8,80%,36%,16%,22,12,115%,43%,23%,16,6,58%,32%,12%,11,1,12%,22%,2%,16,6,55%,31%,4,15,5,54%,31%,11%,25,15,153%,51%,31%,14,4,37%,27%,7%,$366.12,12,2,23%,,
Huerfano,35,32,91%,12,11,12,13,15,13,13,14,11,13,14,17,14,15,16,19,18,18,19,16,17,17,21,16,18,18,18,17,17,17,18,21,21,22,22,21,20,19,21,15,15,14,14,15,12,-20,-63%,34%,-57%,13,-19,-60%,37%,-55%,13,-19,-60%,36%,-55%,15,-17,-53%,43%,-49%,18,-14,-44%,51%,-40%,18,-14,-45%,51%,-41%,18,-15,-45%,50%,-41%,18,-14,-44%,51%,-40%,22,-11,-33%,61%,-16,18,-14,-44%,51%,-40%,14,-18,-55%,41%,-50%,17,-15,-48%,47%,-44%,"-$1,529.62",16,-16,-50%,,
Saguache,21,11,52%,11,11,11,8,9,11,9,10,11,10,9,10,14,15,15,14,12,14,17,13,13,13,10,9,11,13,16,19,11,11,11,9,10,11,11,15,12,16,19,15,15,13,15,16,11,0,0%,52%,0%,10,-1,-9%,48%,-5%,10,-1,-9%,48%,-5%,12,1,9%,57%,5%,14,3,31%,69%,16%,12,1,11%,58%,6%,12,1,11%,58%,6%,12,1,11%,58%,6%,12,1,7%,56%,1,15,4,40%,73%,21%,15,4,33%,70%,17%,12,1,13%,59%,7%,$143.75,12,1,8%,,
Yuma,42,18,43%,19,18,17,15,14,14,13,14,16,16,15,15,12,15,16,19,20,17,20,21,22,22,22,26,19,19,22,20,22,21,21,24,24,22,24,24,23,23,21,24,24,26,21,16,19,1,6%,45%,2%,16,-2,-13%,37%,-6%,15,-3,-18%,35%,-8%,14,-4,-21%,34%,-9%,18,0,2%,44%,1%,22,4,21%,52%,9%,22,4,19%,51%,8%,22,4,20%,51%,9%,24,6,31%,56%,1,23,5,28%,55%,12%,21,3,17%,50%,7%,20,2,8%,46%,4%,$148.25,18,0,2%,,
Aurora Detention Center,60,49,82%,5,7,2,1,5,5,5,16,11,6,1,12,6,6,3,6,3,7,11,4,4,14,11,13,4,14,12,11,13,10,9,10,13,3,14,11,9,9,5,6,8,12,14,16,5,-44,-90%,8%,-73%,4,-45,-92%,7%,-75%,10,-40,-81%,16%,-66%,6,-43,-87%,10%,-71%,6,-43,-88%,10%,-72%,8,-41,-83%,14%,-68%,11,-38,-78%,18%,-64%,11,-38,-78%,18%,-64%,10,-39,-79%,17%,-41,7,-42,-85%,12%,-69%,14,-35,-71%,23%,-58%,8,-41,-83%,14%,-68%,"-$4,018.34",8,-41,-84%,,
Total,281,177,63%,96,88,86,79,83,84,82,100,101,93,89,102,70,93,93,113,111,122,137,130,88,96,132,142,130,135,135,134,128,135,119,127,142,129,144,150,144,173,161,157,159,163,162,160,96,-81,-46%,34%,-29%,84,-93,-53%,30%,-33%,94,-83,-47%,33%,-30%,89,-89,-50%,31%,-31%,115,-62,-35%,41%,-22%,132,-45,-25%,47%,-16%,136,-42,-23%,48%,-15%,129,-48,-27%,46%,-17%,141,-36,-20%,50%,-55,159,-18,-10%,57%,-6%,162,-15,-9%,58%,-5%,120,-55,-31%,43%,-20%,"-$5,403.78",108,-69,-39%,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacity,ADP,Occupancy,Mar 26,Apr 2,Apr 9,Apr 16,Apr 23,Apr 30,May 7,May 14,May 21,May 28,June 4,June 11,June 18,June 25,July 2,July 9,July 16,July 23,July 30,August 6,August 13,August 20,August 27,September 3,September 10,Sept 17,September 24,October 1,October 8,October 15,October 22,October 29,November 5,November 12,November 19,November 25,December 3,December 10,Dec 17,Dec 24,Dec 31,Jan 7,Jan 14,Jan 21,March ADP,N Change,% Change,Occupancy,Occupancy Change,Apr ADP,ADP N change,ADP % change,Occupancy ,Occupancy Change,May ADP,ADP N change,ADP % change,Occupancy ,Occupancy Change,June ADP,ADP N change,ADP % change,Occupancy ,Occupancy Change,July ADP,ADP N change,ADP % change,Occupancy ,Occupancy Change,ADP N change,ADP % change,Occupancy ,Occupancy Change,,September,ADP N change,ADP % change,Occupancy ,Occupancy Change,Oct ADP,N change,% change,Occupancy,Occupancy Change,Nov ADP,N change,% change,Occupancy,Occupancy change,Dec ADP,N Change,% Change,Occupancy,Occupancy Change,Jan ADP,N Change,% Change,Occupancy,Occupancy Change,ADP FOR PANDEMIC,ADP N change,ADP % change,Occupancy ,Occupancy Change,,,,,,
STATEWIDE TOTAL,15746,12745,81%,9010,8003,7434,7137,7138,7085,6896,6759,7009,7010,6944,6911,6956,6989,6972,7089,7132,7237,7339,7539,7829,7924,8220,8304,8365,8011,8123,8124,8198,8243,8363,8273,8415,8549,8415,8359,8448,8520,8508,8277,8308,8443,8421,8476,9010,-3735,-29%,57%,-24%,7359,-5385,-42%,47%,-34%,6919,-5826,-46%,44%,-37%,6950,-5795,-45%,44%,-37%,7154,-5591,-44%,45%,-36%,7899,-4846,-38%,50%,-31%,8201,-4273,-34%,52%,-29%,8240,-4505,-35%,52%,-29%,8435,-4310,-34%,54%,-4775,8412,-4333,-34%,53%,-28%,8447,-4298,-34%,54%,-27%,7811,-4774,-37%,50%,-31%,"-$471,816.10",7765,-4980,-39%,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,*May 18 for Weld,,*Sept 4 for Weld,,*Sept14 for Weld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
